text,value
??????? 15 ???? ?? ????? ???? ?????? ????? ? ???? ? ?? ?? ???? ? ???? ?????.,-1
?? ???? ???? ,+1
???? ??? ?? ???? ADF ( ????? ?????? ) ?? ??? ?????? 3.4 ??? ?? ????? ??????? ?? ???? ?????? ????.,-1
???? ???? ??? ? ??? ??????? ?? ?? ???? ????? ??? ??? ?? ???? ???? ?? ????? ?????? ???..,+2
??? ?????? ???? ?? ??? ????? ?????? ???? Sony s ?? 364ppi ??? ?? ????? ??? LG optimus g ?? ?? ????? 320 ??????.,-1
"???? ??? ?? ????? ?? ???? SuperAMOLED ??? ????? ?? ??? ???????? ??? ????? ????????  ??? ???? ????? ??? LCD ???? ?? ????? ?? ??? ??? ?? ?????? ????? ?????? ???? ?? ?? ??? ?? ??? ????????.",+1
? ??? ???? ?? ???????? ??? ??? (??? ????? ??? ???? ??????!,-1
??? ???? ?? ???? ?? ??? ??????? ???? ???? ???? ? ?????? ??????? ????? ?? ??? ???? ?? ?? ?????? ????? ? ?? ?????? ??? ?????? ?? ???? ?? ????? ???? ?? ??? ???? ??? ??????? ? ??? ?? ????????? ???????? ????? ?? ????.,+2
2- ??? ?? ?? ???? ??????? ??? ???? ???.,-1
??? ??? ?? ???? ???? 24 ???? ??? ?? ????? ???????? ????? ???? ????? ?????? ?? ???? ??? ?? ?? ?? ??? ??????? ????? ?? ??? ????? ????? ?????? ?? ??? ????.,+1
???? ?????? ???? ?????? .,-1
?? ?? ??? ???? ????? ??????? ???? ????? ?? ??? ?? ?????? ???? ??? ??? ?? ??? ??????? ?? ??? ???? ? ?????? ?? ?? ???? ???? ??????? ????? ??? ???? ????? cpu ?? ??? ???? ???? ???? ?? ? ?? ???? ????? ? ??????? ????? ???? ??? ????? ???? ?? ??? ???? ????? ?????? ?? ?? ??? ?????? ??? ???? ?? ??? ?? ???? ????? ?????? ???? ?? ?? ??? ?????? ?? ??????? ???? ???? ???? ??? ??? ???? ? ?? ???? ???? ?????.,-2
??? ???? ?? ???? ???? ??? ?? ??? ????? ????? ?? ?? ? ???? ??????? ? ??? ????? ?? ????? ????? ?????.,+2
??? ?? ?????? ?? Tipo ???? ??? ?????? ????.,0
?????? ???? ?????,-2
???? ?? 15 ???? ?????? ?? ??? ????? ???? ????? ??? ???? ???? ? ??? ???? ??? ?? ?? ?? ??? ???? ???? ??? ?? ??? ??? ?????? ????? ?? ???? ?????? ?? ?? ???? ???? ??? ?? ??? ????? ?? ????? ?? ?? ????? ??? ???? ?? ?? ??? ?? ?? ??? ??? ?? ??? 3g ?? ????? ???? ???? ????????? 4.0.4 ?? ???? ???? ?? ??? ????? ??? ??? ??? ??? ??? ??? ??? ???? ?? ???? ??? ????.,+1
"?????? ?? ???? LED ??? ?? ?? ??? ???????? ?? ?? ????? ???? ????????  ??????? ????? ?? ??? ?????.",+1
??? ?? ?????? ???? ??? ??? ???? ?? ??? ??? ???? ??? ???? ?? ?????? ???? ?? ???? ?? ?? ???? ????? ???? ????? ???? iOS ?? ?????? ????? ???? ?? ???? ?? ???? ???? ?? ????? ???? ??????? ?? ????? ??????? ?? ?? ???? ??? ???? ???? ? ?? ???? ????? ??? ???? ??? ???? ?? ?? ?? ?? ???? ???? ??? ?????? ???? ???? ??? ???? ???????? ????? ??? ?? ????? ???? ???? ????? ?????? ?????? ?? ????? ?? ???? ? ?? ???? ???? ????? ??? ????? ????? ? ???? ?? ??? ?? ???? ?? ???? ?? ???? ? ?? ???? ???????? ?? ?? ??? ??? ?? ???? ??? ???? ???? ??? ??? ?? ???? ?????? ????? ?? ?? ???? ?? ??? ???? ?? ??????? ???? ?? ?? ???? ?? ?? ??? ??? ??? ????? ??? 3 ?? ??? ?????? ????? ???? ???? ??? ?? ?? ??? ???? ?? ????? ????? ???? ??? ????? ???? ? ?????? ???? ?????? ????? HD ?? ???? ??? ?? ????? ???? ?? ?? ?????? ?? ?? ?????? ?? ????? ??? ?? ??? ?? ???? ?? ???? ?????? ????? ? ?????????? ???? ????? ??? ? ?? ???? ???? ??? ?? ?? ?? ???? ?? ??? ????? ??? ?? ???? ?? galaxy s3 ????? ??? ?? ???? ????? ? ?????? ?? ??? ?? ?? ???? .,+1
"???? ?? ?????? ???????? ????  ?????? ???? ????? ???? ?? 4s  ?????.",-1
???? ?????? ???? ?? ???? ??? ???? ?? ??? ??????? ????? ??? ????? ?? ??? ?????? ?????? ?? ??? ? ????? ???? ??? ??? ??? ????? ?????? ???? ?????? ? ??? ????? ????? ?????? !,-2
???? ???? ???? ? ?? ??????.,+2
????? ?? ???? ????? ? ???? ??? ?? ???.,0
"???? ?????????? 4.1.1 Jelly Bean ?? ??? ??? ???? ?? ???? ????? ? ???? ?????????? ??? ?????? Galaxy SIII ?? (??? ?? ???? ????? ???? ?? ???? ???? ??????  ???? ???? ?? ??? ????? ??? ?..",+1
??.,-1
???? ?? ??? ?????? ?? ??? ???? ???????? ?? ???? ?? ???? ?? ???? ?? 4 ???? ?? ?????? ????,0
"?? ????? GALAXY Tab 2?  ??? ?? ?????? ???? ??? ????? ?? ????? ? ???? ????? ?? ????? ?? ???? ???? ?? ??????? ??? ?????? ?? ?????? ????? ????? ???.",+2
???????? ?? ????? ??????? FT3 ????? ???? ?????.,+2
??? ????? ?????? ???? 3 ???? 3 ???? ? ??? ??????? ??? ???? ?????? ??? ??? ????? ?? ?? ???? 2 ???? ????? ?? ????? ???? ????? ?????? ??????!,-1
? ??????? ????? ?? ?? ????????? ?? ??? ???? ?????? ?????? ??????? ?? ??? ???? ???.,-1
"???
????? ???? ????
???? ????",+2
????? ?? ???? ?? ????? ?????? ????? ????? ???? ????? ???? ???? ?????? ??????? ????? ??? ?????? ???? ?????? ???? ?? ?? ??? ??? ???? ?? ????? ???.,+1
F660 ???? ?? ????? ??????-???? ???? ???? NP-50A ??????? ?? ?? ?? ??? ???? ???? ??????? ???? ??? ?? ???????? ????? 300 ??? ?? ????.,+1
??? 4.1.2 ??? ???? ?? ???? ???? ??? ?? ??? ??????? 4.1 ???? ????? ??????? ???? ????.,+1
LCD4.56 ? ???? ?? ????? ???? ???? ???? ??? ??? SONY S ?? ?? ? ?????? ?? ?????? ?? ?? ION ???? ??? ????? LCD ???? ?? SONY S ???? ??? ??? ?? ???.,+1
"?? ???? ?????? ??? ???? ?? ????? ???? ??????? ???????  ???? ?? ???? ??? ???? ???? ?? ???? ???? ????? ??????? ????? ??? ?? ???? ?? ?????? ?? ???? ????? ??? ?? ?? ????? ???? ? ???? ????? ?????.",-2
"?????? ?????? ??? )
???? sms ???? ??? ???? ?????? ???? ?????? ???? ??????? ???? ???? ..",-2
???????? ?? ???????? ???? ????? ?? ?????? ??? ???? ??????? ??? ?? ????? ??????? ???.,+1
?? ?? ??? ?? ??? ???????? ?? ????? ??? ????? ???? ?????? ????? ?? ????? ??? ????? ??? ???? ??? ??????? ?? ??? ?? ?? ??? ??????? ????? ??? ?????? ???? ??????? ?? ????? ??? ??? ?????? ??? ?? ????? ???? ?????? ??????? ?? ???? ???? ??? ?? ?? ?? ???????? ???????? ?? ???.,0
???? ???? ??? ?? ?? ?????? ??? ????? ??? ?????? ????? ????.,0
????? ?????? ?? ??? ?? ?????? ??? ????? ????? ?? ????? ? ??? ???? ?? ?? ???? ????,0
"HX100v ??????? ?????????? ??????? ? ????  ? ??? ?? ???? ????????? ?????????? ????? ??? ?? ??? 2011 ???.",+2
????? ??? ?????? ??????? ????? ? ???? ?? ?? ?????? ????? ???? ??????.,+1
"??? ??? ????????  ????? ?? ????? ?????? ????? ???? ?? ????? ???? ? ?? ????? ?????  ?? ???? ?????? ???? ??? ???  ????? ????? ???? ?? ??? ???? ??? ????? ?? ??? ?? ????? ??????.",+1
"??? ?? ??????? ? ???? ???? ????? ??? ?? ??? ?? ????? ???? ?? ?  ??? ?????? ????? ? ????? ? ???????? ??? ????? ?? ???? ?????? ? ???? ??????? ?????? ????? ?? ????? ?????? ????? ???? ? ???? ??? ?? ?? ??? ???? ??? ???? ??????? ? ????? ?? ??? ???? ???? ?? ?????? ??????? ???? .",+1
?? ???? ?? ???? ???? ??? ????? ??? ????? ???? ?? ????? ????? HD ? Full HD ????.,-1
?? 2 ???? ?? ??? ?? ??? ???? ?? ????? ??? ?? ??? ?? ???? ??? ???? ???? ? ??? ?? ???? ???? ?????? ?? ??? ????? ?????? ?? ????? ?????? ?? ?? ??????? ????? ???? ? ???? ???????? ????? ???? ?? ???? ??? ???? ?? ???? .,+2
? ???? ??? ?? ???? ?????? ???? ????? ????? ???? ???? ???? ??? ???? ??? ??? ?? ??? ?????.,-1
?? ??? ?? ??? ???? ?? ???2 ?????.,-1
?? ???? ???? ????? ?? ?????? ????? ?????.,0
???? ????? ??? ??????? ?? ???? ??? ?????? ???? ??? ???? ???? ?? ???? 10 ????? 8000 ?? ?????? ??? ?? ??? ??? ?????? ????? ???? ???? ? ???? ?????? ????? ?????? ???? ? ??? ??? ????? ????? ?????? ????? ??? ??? ?????? ?? ???? ??? ????.,+1
?? ???? ?????? ???? ??? ???? ???? ?? ???? ????? ? ?? ?????? ??? ??? ?????? ?? ??? ???? ?? ???? ???? ?? ?? ????? !,0
"????? ??? ?????5 ??? ?? ??? ????? ??? ???? ??? ?? ??? ?? ??? ?? ?? ???? ""4 ??? ?? ???? ?? ????? ??? ??? ?? ???.",-1
???? ??? : ?????? ??? ????? ???? ???? ????? .,+1
???? ????? ?? ???? ?? ???????? ??????? ??? ?? ???? ?? ???? ???? ????? ???,+1
??? ?? ?????? ?? ??? ??? ?????? ???? ???? ???? ????? ?? ????? ?????? ? ?? ?? ???? ????????? ????? ??? ???? ???????? ?? ?? ?? ??? ??? ????.,+2
?????????? ???? ?? ???? ??? ?????? ?? ?? ?? ???? ??? ??? ??? ?? ???? ?? ? ??? ??? ???? ??? gpu ? cpu ?? ?? ??? ?? ????? ?? ????? ??? ? ???????? ???? ?????? ? ??? ????? ?? ???? ????? ????? ?? ?? ?? ???? ????? ???? ???? ?? ????? ?? ???.,+1
???? ?? ?? ?? ??????? ????? ???? ?? ??????? ????? ????? ??????? ? ??? ????? ? ???? ?? ??? ??? ??? ????? ??? ???.,-1
???? ????? ?? ?? ??? ?? ?? ????? ???? ????? .,+1
?? ??? ?? ????? ?? ?????? ??? ???? ???? ?? ???? note ? note2 ??? ???? ?? ??? ????? ???? ????? ? ????? ?? HTC Butterfly ??? ???? ????? ?? ?? ???? ??? ??? ?? ???? ??? ?????? ?????,-1
?? ???? ????? ?? ???? ??? ?? ????? ????? ? ????? ??? ???? ??.,+2
??????? ???? ?? ?????? ?? ???? ?? ???? ??? 7 ????? ??? ????? Ainol novo 7 venus ? ?? nexus 7 ? .,-1
"?????? ? ?? ??? ? ????? ????? ??????? ??? ???? ???? Note 10.1 ?? ???? ?????? ??? ????? ????? ??????  ?? ??? ??? ???????  ??? ???? ????? ?? ?????? ???????? ?? ?? ???? ???? ????? ??????? ???? ???? ?? ???? ????? ??? ?????? ? ?? ?????? ????? ??? ??????? ?? ??? ????????.",0
"???? ??? ????? ????? ????????  ???? ????? ???? ????? FullHD?  ?????????? ????? ?? ????? ? ????? ????? ??? ?? ???? ????? ???? ????? ??????? 4?  ???? ??????? ??? ???? ??? ?? ?? ????? ??? ???? ???????? ???? ??? ??? ???? ????? ???? ?? ?? ??? ??? ???? ?????? ?? ???? ??? ?? ??? ??????.",+2
???? ??? ?????  ??? ???? ??? Snapdragon S4 ??? ?? ???????? ?? ???? ?? 1  ????????? Krait ? ???????? ??????? Adreno 305 ?? ???????? ??????.,0
???? ???? ?? ????? ???? ???? .,+1
????? HD710 ???? ??? ?? ?????? ??? ??? ????? ?? ?????? ?????? ??? ??????? ???? ????.,+2
???????? ??? ?? ?????? ???? ???? ??? ?? ?????? ?? ?????? ????? ? ?? ?????? ???? ?????? ?? ?? ???? ?????? ????? ?????.,+1
")
???? ???? ???
????????? ?????? ???????!",+1
GALAXY Tab 2 10.1 ?? ???????? ?? ?????? ????? ???? ???? ????? GALAXY Tab 10.1 ?????.,-1
??? ?????? ???? ?? ??? 25-600 ???? ???? ?? ??????? ??? 24 ???? ??? ?? ???? ?? ?? ???? ???? ????? ???? ?? ????? ?? ??? ? ?? ??????? ??? ?? ?? ??? ????? ???? ? ???? ???? ?? ????.,+2
"??? ????? ?? ??? ?? ???? ? ?? ???  ???? ??????? ?? ??? ?????? ???? ??? ??? ??? ???? ?????? ?????? ????? ???? ?  ????? ?? ??? ???? ?? ???? ?? ?? ?? ????????? ????? ?? ????? ? ?????? ?? ????? ?? ??? ?? ?? ???? ? ???? ? ?? ??? ??? ???? .",-1
?? ????.,0
????? ?? ???? ???? ?? ????? ?? ???????? ???? ?????? ????? ??? ???? ???? ??? ???? ?? ?????? ? ?? ????? ???? ????? ?? ?????? ???? ??? ???? ??? ?? ?? ??? ??? ???? ?? ????? ???? ? ?? ????? ???? ???? ??????? ????.,0
"?????? ??????? ????? ????  ????? ??????????? ??? ???? ??? ????? ??? ? ????? ??? ???.",+2
????? ??? ???? ?????? ?? ???? ?? ?????? ??? ???? ?? ???? 3.5 ??? 4 ???? ????????? ???? ????? ???? ??? ?? ?? ??? ??? .,-1
??? ????? ????? ???? ?? ???? ???? ??? ????? ?????? ? ???? ???? ?????.,-1
"???? ????? ?? ??? ?? ??? ???? ???? ?? ?? ??????? ????? ??????  ???? ??? ?? ??? ????????  ???? ????? ?? ??? ??? ????? ?? ??? ?? ?????? ??? ? ??? ???? ????? ???.",0
??? ????? ?? ???? 800 ?? ????? ???? ???????.,-1
"????? ? ???? ???? Desire SV ?? ??? ??????? ????? ??? ??? ? ????? ??? ? ????  ???? ??? ????? ??? ? ????? ????? ??? ???? ???? ?????? ?? ??????? ?? ?? ???? ?? ?? ??? ??? ????? ???? ????.",+1
"??? ????? ? ????? ????? ???? ASUS ?? ????????? ? ?? ??? ??? ????? ?? ???????? ?? ??? ???????? ???? ???? ? ???? ????? ??? ?? ????? ??????  ASUS X ?????? ??????.",+2
"???? ?? ???? ?? ???? ?? ??? ?? ??? ?? ?? ???? ???? ???? ???? ? ?????? ?? ???? ???? ???? ????? ???? ?? ?????? ???? ?? ?? ???? ???????? ???? ????? ??? ?? ???? ???? ?? ??? ???? ??? ???? ?????.",+2
?? ??? i9100g ???? ? ???? ??? ??????.,+1
???? ??? ?????? ??? ?? ???? ?????? ????? ???? ?????? ???? ????? ??? ?? ?? ????? ?? ??????? ? ????? ?????? ?????.,+2
"?? ?????? ??????? ?????????? ????? ????? (????? Smart Stay?  Direct Call ? S Voice) ?? ????? ???? ??????? ????? ???? ??? ?? ?? ?? ????? ?? ??? ??? ???? ???????? ????? ?????? ????? ?????.",+2
"?? ???? ????? ?? ???? ??????? ?? ? ??? ????  ????? ???? ???? ??? ???? ?? ?? ???? ????? ????? ????? ??????.",0
?? ??? ??? ?????? ?? ????? ????? 16 ????????? CCD ???? ????? ?? ??????? ???? ?????? ?? ????? ?? ??? ? ?? ????? ???? ????? ?? ?????? ??? ??? ?? ?????? ?? ?? ?? ???? ????.,+2
??? ?????? ???? ?? ????? ?? ??????? ???? ?? ?????? ??? ??? ?? ??? ??? ???? ???? ?? ????????? ??????? !,+2
"??? ?? ???? ?? ????? ??????? ?? ????? ?? ?? ???? ???? ?? ?? ??? ?????? ?? ??? ?????  ?? ??? ????? ??? ??? ?? ????????? ???????.",+2
"???? ???? ?? ?????  ???? ??? ???? ????? ??? ?? ????? ??????.",-1
?? ??? ????? ?? ??? ????? ????? ???? ???? ? ?????.,+2
"??? ??? 540 ??? ??? ??? ? ?????? ?? ?? ?? ?? ?????? ???? ????????  ?????? ?? ?? ?? ??? ????? ??? ? ??? ??? ?? ?? 1.1 ??????? ?????? ?? ??? ?? ????? ??? ????? ?????? ? ?? ????? ??????? ?? ?? ????? ???.",+1
?? ??? ??? ?? ??? ????? OCR ????? ???? ??? ???? ?? ????? ?? ?? ?????? ?????? ?? ??? A4 ?? ?? ???? ???? ????? ???.,+1
????? ???? ??? ?????5 ???? ?? ?? ???? ??? ???? ?????.,+1
???? ???? ??? ??? ?? ????? ???? ?????!,+1
????? ????? ???? ?????? ??? ? ????? ???? ???? ???? ???? ?????????.,-2
"??? ???? ??? ???? ???? ???? ??? ??? ??? ???? ???? ??? ??? ????? ?? ??? ???? ? ?? ????? ? ???? ???? ????? ????
? ????? ?????? ??? ???? ?????? ????? ?? ???? ?? ?? ????? ?? ??? ????? ???? ?????
???? ?? ??? ????? ??? ???? ??? ????? ????.",0
?? ?? ???? ???? ??? ???? ??? ???? ???? ??? ? ??? ??? ??? ?? ???? ???? ?? ???? ????? ???? ? ?? ??? ??? ????? ????? ?????? ? ??? ?????? ???? ?? ???? ???? ??? ?? ?? ??? ???? ?????? ??? ??????? ? ?? ?? ???? ????? ?? ?? PS3 ???? ???? ????? ??? ???? ?? ??? ?? Xbox360 ?? PS3 ?????.,-1
??? ?? ???? ???? ?? ???? ??? ?? ?????? ????? ??? ?? ??? ???? ?? ??? ???? ????? ????.,0
?????? ?? ?????.,-2
????? ?? ??? ?? ????.,-1
"???? ????? ?? ?? ???? ?????? ??? ???? ????? ????? ?????  ?????? gprs ? edge ??? ??? ???? ???.",-1
??????? ??????? ??? ?? ??? ???? ?? ???? ???? ????? ????? ??????.,+1
??? ?????? ?? ?? ???? ?????? .,+2
"? ???????? ? ???????? ?? ???? ????????  4540s ????? ???? ???.",+2
?? ??? ???? ????? ???? ??? ??? ?? ??? ????? ???? ? ?????? ? ???? ???? ??????? ?? LG Optimus 4X HD P880 ????.,-1
"???? ???? ????? ?? ?? ???? ????? ??? ???? ???????  ?????? ???? ?? ???? ?? ???.",-1
"??? ?? ???? ??? ?? ??? ??? ??? ???? ???? ?? ??? ?? ?? ??? ???? ?????? ??? ???? ??? ????? ? ????? ??? ???????? ?????? ????? ?  ??? ??? ???? ????? ?? ????? ?? ??? ????? ??? ???? ??? ?? ????? ????? .",0
???? ????? (Memory Card) ?? ??? ?? ?? ?????? (?? ?? Arcade Pack ) ????? ???? ? ?? ???? ???? ???? ???? ?? ???? ??????? ???? ???.,-1
?????? ????? Gorilla Glass ????? ?? ??? ??? ???? ????? ??? ????? ?????? ?? ???? ?? ????? ?? ?? ????.,0
?????? ???? ???? ??? ????? ??? ???? ???.,0
??? ?? ?? ??? ??? ??????? ????? ? ???? ???? ??? ???.,0
???????? ?? P7700 ?????? ????? ??? ???? ?? ?? G1x ??? ???.,-1
???????? ??? ?? ???? ??? ????? ???? ?? ????? ??? ?? ??? ???? ???.,-1
?? ?? ???????? ??? ?? ??????? ???? ? ??? ???? ????? ?? ???? ?????? ? ??? ??? ?? ????? ?????? ???.,+1
"?? ????? ?????? ?????? ??? ???????  ????? ?? ??? ?????? ?????? ????? ? ?? ??? ?????? ??? ??????? ??????.",+1
?????? USB Flash card ?? ???? ???? ????? ?? ???? ?????.,0
??? ????? ???? ?????? ? ??? ???? ???? ???? ???? ?? ???? ??? ???? ?? ????? ???? ????? ????? ???? ????.,0
?? ???? ??? ??? ?????? ?????? ??? ??? ???? ??????? ?? ?????? ?? ?????? ???? ???????? ? ??? ????? ??:??????? ?? ?? ????? ??? ???? ????? ???????? ? 4 ???? ?? ????? ???? ???? ???? ? ?????? ?? ??? ???? ?? ????? ? ????? ??????? ?? ???? ?????? ????? ??? ???? ?? ???? ??? ?????? ??? ?? ???? ??? ?? ???? ???? ????? ???? ??????? 4 ???? ? ??? ?? ?????? ? 1 ???? ? ???? ?? ?????? ????? ?? ???? ???????? ???? ???? ????? ??? ?? ??? ???? ???? ???? ??? Full HD ??? TF700T ?? ???? ???????? 4 ???? ?? ?????? ??? ?? ??? ?? ???? ?? ??? ?? ?? ??? 4 ???? ? ???????? ?? ???? ??????? ??? ???? ??? ????? ???? ios ????? ????? ??????? ?? ?? ??? ????? ? ?? ?? ??? ????? ????? ???? ??? ????? ???? ??????? ???? ?? ios ???? ????? ???? ??? ??????? ??? ?? ?? ???? ? ?? ???? ???????? ??? ?????? ? ?? app store ??? ? aundroid market ??????? ?? ????? ??????? ??? ? ???? ??? app store ?? ????? ??? ??? ?? ???? ?? ?? ? ???? ???? ? ???? ??? ????? ?? ?? ????? ?? ??????? ??????? ??????:???? ??? ?? ??? ???? ?? ?? ?????? ?? ??? ???? ??????? ???? ?? ?? ????? ???? ??? ?? ?? ??????? ??? ??? ??? ???? ?? ios 6 ?? ???? ??? ??? ?????? ????? ?? ?? ??? ? ???? ???? ?? ????? ???? ????? ?? share ????.,0
"?? ????? ? ?? ???? ??? ?? ?? ????? ??? ???? ?? ???? ??????? ???? ?????? ?  ????? ???? ????? ???? ???? ?????? ????? ?? ?? ???? ??? ?? ???? ?? ?? ?????? ? ???? ???? ???? ?? ??? ????.",-1
"???? ??? ???? ?? ???? ????? ??? ?? ??? ?????????  ?????? ???? ????? ? ??????? ???? ? ????????? ?? ??????  ? ???? ??? ?? ???? ??? ??? ??? ?? ????? ???.",-1
"?? ?? ???? ???????? ?? ??????  DV300F ????? ?? ??????? ??? ? Wi-Fi ????? ?? ?? ????? ???? ????  ?? ?? ?????? ????? ????? ????? ?????? ????? ???? ?????? ? ??? ????? ???.",+2
??? ???? ????? ?? ?????? ?? ???? ??? ???? ???? ?? ?????? ??? ????? ?????? ???? ????.,-1
????? ?? ?? ??? ??? ?? ??? ???? ?? ?????.,0
???? ???? asha302 ???? ?? ???? ?? ????? ?? ?? ?? ??? ?? ??????? ??????? ??? ????? ??? ??????? ?????? ????.,+1
????? ???? ??????? ?? ???? ?????? ?? ????? ??? ??? ???? ??? ???.,-1
??????? ????? ????? ?? ???? ????? ?? ?? ????? ??????? ? ??????? ????? ????.,0
?? ???????? 3 ???? ??????? ????????? ?????? ??????????? 3 ???? ?? ?? ??? ??? ?? ?? ????? 1080p ??????.,+2
"???? ???? ???????? ??? ?????? ???????, ??? ????? ?????? ??? ???? ?? ????? ??? ???? ?? ?? ?????? ? ?? ??? ?????.",+1
"? ????? ?????? ???? ???? ????? ????? ?? ???? ???? ???????? ???? ???? ??? ?  ???  ???? ??? ??? ??? ???? ????? ??? ? ???? ?? ??? ????? ???? ????? ???? ?? ??? ?? ????? ?? ???? ??? ??? ??? ?? ?? ??? ?? ???? ??? ???? ?? ??? ????? ?? ??? ????? ????? ????  ?? ???? ??? ?? ???? ?????? ??? ???? ?? ??????? ???? ?????? ???? ?? ??? ?????? ???? ",-2
"?? ?? ??? ???? ?? ???? ????? ????? ??? ??? ?????
????? ???? ????? ???? ?? ????? ?????? ?????297
????? ???? ????
???? ?????? ???
",+2
? ??? ????? ????? ?? ???? ?? ????? ?????.,+2
???? ???? ????? ?????? ?????? ?? ???? ?????? ???? ?? ???? ??? ??? ???? ?? ??? ???? ??? ?? ?? ???? ??? ???? ?? ?? ????? ???????? ???? ????? ???????.,+1
?? ??? ?? ?? ??? ?????? ? ???? ???? ???? ?? ??? ?????,+2
"?? ????? ?????? ????? iPad mini ?? Nexus 7 ? ?? ??? FonePad?  ?? ??? ????? ???? ???? Note 8 ?? ?? ????? ??? ???? ????.",-1
?????? ??? ???? ?? ?? ??? ??????? ?? ??????? ???? ???? ?? ????? ???????.,-1
?? ???? ????? ???? ? ????? ? ??? ?? ????? ?????? ?????? ???? ? ?? ?? ?????!,+2
????? Canon LiDE 100 ??????? ???? ???? ?????? 35mm ?? ?????.,-1
????? gps ??? ?? ?????? ??? ?? ???? ?? ?? ??? ??? ????? canon ??? ??????? ???? ??? ???? ??? ?? ?? ????? ????? ?????? ????? ?? ????? ??????? ?? ????? ?? gps ?????? ???? ?? ???? ???? ?????? ???? ?? ?? ???? ?? ????? ?? ?? ???? ???? ???? ????? ?????? ?? ?? ?????? ??????? ?? ? ?????? ????????? ?? ??? ??? ?????? ????? .,-1
??? ??? ?????????? ???? ???.,+2
?,0
"?? ???? ????? ????? ??? ?? N43SM ???????? ?????? ?? ????? ?? ????? ?? ????? ????? ???? ???.",+1
? ???? ?????? ??? ??? ??? ??? ???? ???? ?????? ? ???? ????? ??????? ???? ???? ??????.,-1
????? ???? ? ????? ????? ?? ??? ??????? ?? ????? ????? ???? ??????? ?????? ?? ????? ???????? ? ?????????? ????? ?????.,+2
???? ????? ?????? ???? ???? ???? ???? ? ????? ??? ?????? ? ?????..,+2
264 ?? ????.,0
"??? ???? ????? ???? ??? ?????? ???? ???? ?? ????? 
",-1
"(? ?????? ????? ?? 8 ??? ?????? ? ????  5 )???????? A5 ??????? ??? ?? ??? ???????  ???? ?? ??? ??????? ??? ?? ????? 4 ?  ?? ????? ?????? ???? ?? ? ?? ???? ???? ?? ?????? ?? ???? ???  ?? ??? ????? ???? ?????? ????? ????? ????? ????.",+1
?? ?????? ?? 5 ????? ??? ???? ??? ???????? ?? ????z ?? zl ????? ?? ?????? ???? ??? ???????.,-1
????? ??? ??? ??? ??? ???? ??????? ????? ????? ???? ???? ?????,+1
???? ?? ??? ??? ?? ??? G580 ????? Wi-Fi ?? ????????? 802.11 b/g/n ???? ? ?? ?????? ???? 3.0 ??? ???????? ??????.,0
????? ?????? ????? ????? ????? ????? ?? ?? ??? ??? .,+1
"?? ????  ?? ?????? 2 ????????? ??? ???? ????? ??????? ?????? ???? ???? ?? ???? ??? ????? ????? ????? ? ?? ????? ???.",+2
"?????? ??????? ????? ??? FDR-211 ?? ??????? ?????  ????? ???? ?????????? ? ??????? ?? ???????????? ??? ?? ????? ???? ??? ???.",+2
??? ???????? ?? ????? ????? ???? ????? ???? ???? ? ???? ???? ?????? ?? ???? ?? ??? ??? ???.,0
???? ???? ???? ????? ?? ??? ?????? ????? ????? ??? ? ???? ??? ???? ????????? ???? ??????? ?? ??? ?????? ???????.,+1
"?????? ???????????? ?????????  ??? ???? ?? ?? ??? ????????? ???? ????  ??? ???????? ??????? ??? ???????  ??????? ??? ? ?????  ?? ????? ?????????? ????.",+1
? ??? ????? ????? ???? ??????? E1-531 ?? ??? ??? ???????? ??? ?? ???? ?? Intel Core i3 ? Core i5 ??????? ??????.,0
??? ????? ????? ???? ??? ????? ??? ???? ????.,-1
"? ???? ?? ??? ????:
1- ????? ???? ?????? ?????? ????? ? ?? ???? ??? ????????  ??? ??? ??? ?? ??? ?? ?????.",+2
???? ?? ???? ?? ????? ???????? ???? ??? ??? ???????? ??????? ????? ???? ???? ???? ??? ???? ???? ? ?????? ?? ???? ?? ???? ????? ???? ???? ?? ??? ??? ????? ?????,-1
??? ???? ????????? ??? ??????? ??? ?? ?? ??? ????? ??? ???? ???.,+1
??? ?????? ?? Adobe Flash ?? ???????? ?????? ? ?????? ?? ?? ???? ????? ? ?????? ??? ?????? ???? ???? ??????.,+2
?????? 1.2 ????????? ??? ?? ??? ????? ????? ???? ???? ?????? ?? ????? ????? ?? ??????? ???.,-1
"?? ???? ???? ?  ?? ???? ? ?? ????.",+1
?? ??? ??? ?? ?? ?????? ?? ??? ??? ??? ? ?????? ???? ??? ?????.,+2
?????? ???? ????? ???? ????? ?? ???? ???? ???? ??? ????.,+1
??? ??? ????? ?????? ????? 43.6-436 ???? ??? ?? ???? ?????? ?? ????? ???? ?????? ?? 43.6 ???? ??? ????? ??? ????? ????? ? ????? ??? ?????? ?? ?? ?? ????.,-1
????: ??? XBOX360 ??????? ??? ? ????? ??? ??? ????????,0
"??? ?? ????? ??? ??? iOS ?????? ?????? ????  ??? ?? ???? ?????? ????  ??? ?????? ?? ???? ?? ?? ???? ???? iOS ???? ???? ????.",0
